Epoch #1 | Train Average MSE: 1.0032 | Test Average MSE: 1.0378
Epoch #2 | Train Average MSE: 1.0067 | Test Average MSE: 1.0234
Epoch #3 | Train Average MSE: 0.9957 | Test Average MSE: 0.9974
Epoch #4 | Train Average MSE: 0.9729 | Test Average MSE: 0.9510
Epoch #5 | Train Average MSE: 0.9417 | Test Average MSE: 0.9214
Epoch #6 | Train Average MSE: 0.9291 | Test Average MSE: 0.9163
Epoch #7 | Train Average MSE: 0.9311 | Test Average MSE: 0.9280
Epoch #8 | Train Average MSE: 0.9155 | Test Average MSE: 0.9324
Epoch #9 | Train Average MSE: 1.0371 | Test Average MSE: 1.2634
Epoch #10 | Train Average MSE: 0.9421 | Test Average MSE: 0.9190
Epoch #11 | Train Average MSE: 0.9137 | Test Average MSE: 0.9067
Epoch #12 | Train Average MSE: 0.9318 | Test Average MSE: 0.9452
Epoch #13 | Train Average MSE: 0.9316 | Test Average MSE: 0.9382
Epoch #14 | Train Average MSE: 0.9248 | Test Average MSE: 0.9328
Epoch #15 | Train Average MSE: 0.9412 | Test Average MSE: 0.9450
Epoch #16 | Train Average MSE: 0.9307 | Test Average MSE: 0.9321
Epoch #17 | Train Average MSE: 0.9070 | Test Average MSE: 0.9112
Epoch #18 | Train Average MSE: 0.9093 | Test Average MSE: 0.9182
Epoch #19 | Train Average MSE: 0.9192 | Test Average MSE: 0.9291
Epoch #20 | Train Average MSE: 0.9269 | Test Average MSE: 0.9330
Epoch #21 | Train Average MSE: 0.9420 | Test Average MSE: 0.9283
Epoch #22 | Train Average MSE: 1.0356 | Test Average MSE: 1.0026
Epoch #23 | Train Average MSE: 0.9831 | Test Average MSE: 0.9742
Epoch #24 | Train Average MSE: 0.9704 | Test Average MSE: 0.9800
Epoch #25 | Train Average MSE: 1.0100 | Test Average MSE: 0.9684
Epoch #26 | Train Average MSE: 1.0113 | Test Average MSE: 0.9705
Epoch #27 | Train Average MSE: 1.0338 | Test Average MSE: 0.9975
Epoch #28 | Train Average MSE: 1.0296 | Test Average MSE: 0.9880
Epoch #29 | Train Average MSE: 1.0294 | Test Average MSE: 0.9870
Epoch #30 | Train Average MSE: 1.0297 | Test Average MSE: 0.9891
Epoch #31 | Train Average MSE: 1.0293 | Test Average MSE: 0.9865
Epoch #32 | Train Average MSE: 1.0296 | Test Average MSE: 0.9888
Epoch #33 | Train Average MSE: 1.0295 | Test Average MSE: 0.9888
Epoch #34 | Train Average MSE: 1.0295 | Test Average MSE: 0.9884
Epoch #35 | Train Average MSE: 1.0294 | Test Average MSE: 0.9882
Epoch #36 | Train Average MSE: 1.0294 | Test Average MSE: 0.9881
Epoch #37 | Train Average MSE: 1.0294 | Test Average MSE: 0.9880
Epoch #38 | Train Average MSE: 1.0294 | Test Average MSE: 0.9881
Epoch #39 | Train Average MSE: 1.0294 | Test Average MSE: 0.9880
Epoch #40 | Train Average MSE: 1.0293 | Test Average MSE: 0.9877
Epoch #41 | Train Average MSE: 1.0333 | Test Average MSE: 0.9885
Epoch #42 | Train Average MSE: 1.0304 | Test Average MSE: 0.9931
Epoch #43 | Train Average MSE: 1.0294 | Test Average MSE: 0.9879
Epoch #44 | Train Average MSE: 1.0294 | Test Average MSE: 0.9884
Epoch #45 | Train Average MSE: 1.0294 | Test Average MSE: 0.9883
Epoch #46 | Train Average MSE: 1.0293 | Test Average MSE: 0.9881
Epoch #47 | Train Average MSE: 1.0288 | Test Average MSE: 0.9872
Epoch #48 | Train Average MSE: 1.0303 | Test Average MSE: 0.9874
Epoch #49 | Train Average MSE: 1.0299 | Test Average MSE: 0.9882
Epoch #50 | Train Average MSE: 1.0290 | Test Average MSE: 0.9887
Epoch #51 | Train Average MSE: 1.0306 | Test Average MSE: 0.9884
Epoch #52 | Train Average MSE: 1.0296 | Test Average MSE: 0.9901
Epoch #53 | Train Average MSE: 1.0290 | Test Average MSE: 0.9884
Epoch #54 | Train Average MSE: 1.0286 | Test Average MSE: 0.9880
Epoch #55 | Train Average MSE: 1.0305 | Test Average MSE: 0.9888
Epoch #56 | Train Average MSE: 1.0292 | Test Average MSE: 0.9891
Epoch #57 | Train Average MSE: 1.0291 | Test Average MSE: 0.9887
Epoch #58 | Train Average MSE: 1.0291 | Test Average MSE: 0.9887
Epoch #59 | Train Average MSE: 1.0291 | Test Average MSE: 0.9886
Epoch #60 | Train Average MSE: 1.0291 | Test Average MSE: 0.9885
Epoch #61 | Train Average MSE: 1.0291 | Test Average MSE: 0.9884
