Chromophore,Solvent,Lifetime (ns)
N#Cc1cc2ccc(O)cc2oc1=O,O,2.804262
N#Cc1cc2ccc([O-])cc2oc1=O,O,3.961965
CCCCCCCCCCCC#CC#CCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCCCC#CC#CCCCCCCCCCCCC)C5=O,ClC(Cl)Cl,3.602954
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CC#N,3.81
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CS(C)=O,4.7
Oc1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,C1CCCCC1,
[O-]c1c(-c2[nH+]c3ccccc3s2)cc2ccc3cccc4ccc1c2c34,C1CCCCC1,0.49
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,C1CCCCC1,2.8
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCOC(C)=O,3.1
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CC#N,3.4
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCO,3.1
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,OCC(O)CO,3.8
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,C1CCCCC1,4.1
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCOC(C)=O,4.6
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,0.6
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCO,0.85
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,OCC(O)CO,2.7
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,C1CCCCC1,2.6
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CC#N,3.3
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CCO,4.5
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,O,5.9
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,C1CCCCC1,4.3
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCOC(C)=O,5.4
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CC#N,5.6
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCO,3.4
