key,smiles,solvent,peakwavs_max
1481,CC(C)c1ccc2ccc3c(C(C)C)cc(C=O)c4ccc1c2c43,CO,405.0
1481,CC(C)c1ccc2ccc3c(C(C)C)cc(C=O)c4ccc1c2c43,ClCCl,410.0
1482,CC(C)c1ccc2ccc3c(C(C)C)ccc4ccc1c2c43,CCCCCC,345.0
13,BrCCCCCCCCCCCCOc1cc2ccc3cccc4ccc(c1)c2c34,Cc1ccccc1,384.0
1482,CC(C)c1ccc2ccc3c(C(C)C)ccc4ccc1c2c43,CO,343.0
1483,CC(C)c1ccc2ccc3cccc4ccc1c2c34,CCCCCC,338.0
749,CC(C)(C)C#Cc1cc2c(C#CC(C)(C)C)c(C#CC(C)(C)C)c3cc(C#CC(C)(C)C)cc4c(C#CC(C)(C)C)c(C#CC(C)(C)C)c(c1)c2c34,ClCCl,383.0
1483,CC(C)c1ccc2ccc3cccc4ccc1c2c34,CO,337.0
1483,CC(C)c1ccc2ccc3cccc4ccc1c2c34,ClCCl,340.0
1482,CC(C)c1ccc2ccc3c(C(C)C)ccc4ccc1c2c43,ClCCl,346.0
14156,O=Cc1ccc2ccc3cccc4ccc1c2c34,OCC(F)(F)F,396.0
14156,O=Cc1ccc2ccc3cccc4ccc1c2c34,C1CCOC1,390.5
14156,O=Cc1ccc2ccc3cccc4ccc1c2c34,CC#N,389.5
14156,O=Cc1ccc2ccc3cccc4ccc1c2c34,CC(C)=O,390.0
14156,O=Cc1ccc2ccc3cccc4ccc1c2c34,CCCCCC,389.0
14156,O=Cc1ccc2ccc3cccc4ccc1c2c34,CCO,389.5
14156,O=Cc1ccc2ccc3cccc4ccc1c2c34,CN(C)C=O,390.0
14156,O=Cc1ccc2ccc3cccc4ccc1c2c34,CO,389.0
14156,O=Cc1ccc2ccc3cccc4ccc1c2c34,CS(C)=O,393.0
5926,CCN(CC)c1cc2ccc3cc(C#N)cc4ccc(c1)c2c34,CCCCCC,437.0
14156,O=Cc1ccc2ccc3cccc4ccc1c2c34,Cc1ccccc1,391.5
14156,O=Cc1ccc2ccc3cccc4ccc1c2c34,ClC(Cl)Cl,394.0
14156,O=Cc1ccc2ccc3cccc4ccc1c2c34,ClCCl,392.0
11474,Cc1ccc2ccc3cccc4ccc1c2c34,CCCCCC,338.0
5927,CCN(CC)c1cc2ccc3cccc4ccc(c1)c2c34,CCCCCC,427.0
13310,Nc1cc2ccc3cccc4ccc(c1)c2c34,CC#N,338.0
13310,Nc1cc2ccc3cccc4ccc(c1)c2c34,CCCCOCCCC,338.0
13310,Nc1cc2ccc3cccc4ccc(c1)c2c34,CO,336.0
14904,c1cc2ccc3cccc4ccc(c1)c2c34,C1CCCCC1,334.0
14904,c1cc2ccc3cccc4ccc(c1)c2c34,C1CCOC1,373.0
14904,c1cc2ccc3cccc4ccc(c1)c2c34,CC#N,335.0
14904,c1cc2ccc3cccc4ccc(c1)c2c34,CCCCCC,330.0
12623,N#C/C=C/c1ccc2ccc3cccc4ccc1c2c34,C1CCOC1,372.0
12623,N#C/C=C/c1ccc2ccc3cccc4ccc1c2c34,C1COCCO1,372.0
12623,N#C/C=C/c1ccc2ccc3cccc4ccc1c2c34,C=CC#N,370.0
12623,N#C/C=C/c1ccc2ccc3cccc4ccc1c2c34,CC#N,371.0
12623,N#C/C=C/c1ccc2ccc3cccc4ccc1c2c34,CC(C)=O,369.0
12623,N#C/C=C/c1ccc2ccc3cccc4ccc1c2c34,CCCCCC,368.5
12623,N#C/C=C/c1ccc2ccc3cccc4ccc1c2c34,CCOC(C)=O,371.0
815,CC(C)(C)NC(=O)c1c([Si](C)(C)C)cc2ccc3cccc4ccc1c2c34,ClC(Cl)Cl,382.0
816,CC(C)(C)NC(=O)c1cc2ccc3cccc4ccc(c1C(=O)NC(C)(C)C)c2c34,ClC(Cl)Cl,385.0
12623,N#C/C=C/c1ccc2ccc3cccc4ccc1c2c34,CO,371.0
12623,N#C/C=C/c1ccc2ccc3cccc4ccc1c2c34,Cc1ccccc1,371.5
12623,N#C/C=C/c1ccc2ccc3cccc4ccc1c2c34,ClCCl,373.0
14904,c1cc2ccc3cccc4ccc(c1)c2c34,Cc1ccccc1,362.0
14904,c1cc2ccc3cccc4ccc(c1)c2c34,ClC(Cl)Cl,337.0
14904,c1cc2ccc3cccc4ccc(c1)c2c34,ClCCl,333.0
828,CC(C)(C)NC(=O)c1ccc2ccc3cccc4ccc1c2c34,ClC(Cl)Cl,377.0
14904,c1cc2ccc3cccc4ccc(c1)c2c34,CCO,334.0
14904,c1cc2ccc3cccc4ccc(c1)c2c34,CCOC(C)=O,335.0
14904,c1cc2ccc3cccc4ccc(c1)c2c34,CO,330.0
14219,O=S(=O)([O-])c1cc(O)c2ccc3c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c4ccc1c2c34,O=C1CCCO1,398.089172
14219,O=S(=O)([O-])c1cc(O)c2ccc3c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c4ccc1c2c34,C1CCOC1,398.8035892
13554,O=C(O)CCCCCNC(=O)COc1cc([S](=O)([O-])(=O))c2ccc3c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c4ccc1c2c43,O,400.0
